id,name,city,category,description,ideal_duration_hours,best_time_to_visit,lat,lon
74,Karla,Lonavala - Khandala,Nature & Scenic,Ancient Buddhist rock-cut caves on trade route,2.5,Oct-Mar,18.0103,73.7487
75,Bhaje Caves,Lonavala - Khandala,Nature & Scenic,Rock-cut Buddhist caves and steps,1.5,Oct-Mar,18.793,73.474
76,Karjat Kondana Caves,Lonavala - Khandala,Nature & Scenic,Green hill caves and trek,2,Oct-Mar,18.944,73.333
77,Lonavala Lake,Lonavala - Khandala,Nature & Scenic,Popular lake surrounded by lush greenery,1,Jun-Sep,18.752176,73.419452
78,Tiger's Leap,Lonavala - Khandala,Nature & Scenic,Cliff-top viewpoint with valley views,1,Oct-Mar,18.7587,73.4208
79,Bhushi Dam,Lonavala - Khandala,Nature & Scenic,Crowd-favorite monsoon spot with gushing water,1.5,Jun-Sep,18.740949,73.400791
80,Bhaja Caves,Lonavala - Khandala,Nature & Scenic,Rock-cut caves dating back to 2nd century BC,1.5,Oct-Mar,18.7458,73.4793
81,Rajmachi Point,Lonavala - Khandala,Nature & Scenic,Viewpoint overlooking the valley,1,Oct-Mar,18.752772,73.434821
82,Rajmachi Fort,Lonavala - Khandala,Historical & Cultural,Trekking fort with scenic view,4,Oct-Mar,18.837012,73.403465
83,Tungarli Lake,Lonavala - Khandala,Nature & Scenic,Peaceful lake suitable for picnics,1,All Year,18.754402,73.419302
84,Bhaja Caves,Lonavala - Khandala,Historical & Cultural,Stone caves with scenic valley views,2,Oct-Feb,18.73439,73.48147
85,Lions Point,Lonavala - Khandala,Nature & Scenic,Famous sunset and monsoon viewpoint,1,Jul-Feb,18.71105,73.47172
86,Kune Falls,Lonavala - Khandala,Nature & Scenic,Popular three-tiered waterfall,1.5,Jul-Sep,18.75585,73.39319
87,Bushi Dam,Lonavala - Khandala,Nature & Scenic,Famous monsoon spot with gushing water,2,Jul-Sep,18.75753,73.43406
88,Khandala Sunset Point,Lonavala - Khandala,Nature & Scenic,Beautiful sunset viewpoint near highway,0.5,Oct-Feb,18.76772,73.38064
89,Rajmachi Fort,Lonavala - Khandala,Historical & Cultural,Famous twin fort with trekking route via Lonavala,4,Nov-Feb,18.7862,73.3895
90,Korigad Fort,Lonavala - Khandala,Historical & Cultural,Popular easy trek near Aamby Valley,3,Nov-Feb,18.6188,73.4603
91,Tikona Fort,Lonavala - Khandala,Historical & Cultural,Triangular hill fort offering valley views,3,Nov-Feb,18.6673,73.5337
92,Tung Fort,Lonavala - Khandala,Historical & Cultural,Conical fort rising above Pawna Lake,3,Nov-Feb,18.6502,73.5006
93,Visapur Fort,Lonavala - Khandala,Historical & Cultural,Massive fort popular in monsoon trekking season,4,Jul-Oct,18.7381,73.4787
94,Lohagad Fort,Lonavala - Khandala,Historical & Cultural,Historic fort famous for monsoon hikes,3,Jul-Feb,18.7102,73.4823
95,Pawna Lake,Lonavala - Khandala,Nature & Scenic,Famous camping site with lakeside views,3,Oct-Mar,18.6517,73.4549
96,Bedse Caves,Lonavala - Khandala,Historical & Cultural,Lesser-known Buddhist caves with carvings,2,Oct-Feb,18.704,73.5465
97,Panchgani Town,Mahabaleshwar-Panchgani ,Nature & Scenic,Tableland and viewpoints,2.5,Oct-Mar,17.928994,73.800774
98,Mapro Garden,Mahabaleshwar-Panchgani ,Nature & Scenic,Strawberry farm and tourist spot,1.5,Oct-Mar,17.952156,73.490852
99,Arthur Seat Point,Mahabaleshwar-Panchgani ,Nature & Scenic,Popular cliff viewpoint,0.75,Oct-Mar,17.925965,73.646295
100,Wilson Point,Mahabaleshwar-Panchgani ,Nature & Scenic,Sunrise viewpoint,0.75,Oct-Mar,17.923811,73.675998
101,Tung Fort,Mahabaleshwar-Panchgani ,Historical & Cultural,Popular trek with panoramic views,2.5,Oct-Mar,17.9235,73.7862
102,Bhimakali Temple (Mahabaleshwar),Mahabaleshwar-Panchgani ,Religious & Spiritual,Local temple near markets,0.75,Oct-Mar,17.925,73.657
103,Mapro Chocolate Factory,Mahabaleshwar-Panchgani ,Urban & Modern Attractions,Factory tours and tasting,1,Oct-Mar,17.954,73.482
104,Panchgani Table Land View,Mahabaleshwar-Panchgani ,Nature & Scenic,Open flat plateau viewpoints,1.5,Oct-Mar,17.929,73.802
105,Pratapgad Fort,Mahabaleshwar-Panchgani ,Historical & Cultural,Historical hill fort built by Shivaji Maharaj,3,Oct-Mar,17.930278,73.563889
106,Venna Lake,Mahabaleshwar-Panchgani ,Nature & Scenic,Popular boating lake surrounded by greenery,1.5,All Year,17.92589,73.65738
107,Mapro Garden,Mahabaleshwar-Panchgani ,Nature & Scenic,Strawberry garden with eateries & shopping,1,Nov-Mar,17.923601,73.722526
108,Elephant's Head Point,Mahabaleshwar-Panchgani ,Nature & Scenic,Famous viewpoint shaped like an elephant's head,1,All Year,17.94419,73.676193
109,Wilson Point,Mahabaleshwar-Panchgani ,Nature & Scenic,Highest point with sunrise views,1,All Year,17.947016,73.646805
110,Table Land,Mahabaleshwar-Panchgani ,Nature & Scenic,Second longest plateau in Asia,1.5,All Year,17.9242,73.8047
111,Parsi Point,Mahabaleshwar-Panchgani ,Nature & Scenic,Valley viewpoint with scenic views,1,All Year,17.933888,73.811831
112,Harrison's Folly,Mahabaleshwar-Panchgani ,Nature & Scenic,Flat viewpoint ideal for paragliding,1,All Year,17.937648,73.816802
113,Devil's Kitchen,Mahabaleshwar-Panchgani ,Nature & Scenic,Cave structures believed to be from Mahabharata era,1,All Year,17.9351,73.7988
114,Lingmala Waterfall,Mahabaleshwar-Panchgani ,Nature & Scenic,Beautiful waterfall in lush forest,1.5,Jul-Oct,17.942732,73.6587
115,Matheran Town,Matheran,Nature & Scenic,Toy-train hill station with no vehicles,2.5,Oct-Mar,18.988658,73.271049
116,Gateway of India,Mumbai ,Historical & Cultural,Iconic arch overlooking Arabian Sea,1.5,Oct-Mar,18.921984,72.834654
117,Marine Drive,Mumbai ,Beaches & Waterfront,Sea-facing boulevard known as Queen's Necklace,1,Oct-Mar,18.943184,72.823248
118,Juhu Beach,Mumbai ,Beaches & Waterfront,Popular beach for sunset and street food,2,Oct-Mar,19.088359,72.826523
119,Colaba Causeway,Mumbai ,Urban & Modern Attractions,Busy shopping street near Gateway of India,2,Oct-Mar,18.921699,72.830504
120,Elephanta Caves,Mumbai ,Historical & Cultural,Rock-cut caves on Elephanta Island,3,Nov-Mar,18.963347,72.931564
121,Siddhivinayak Temple,Mumbai ,Religious & Spiritual,Popular Ganesh temple with heavy pilgrim flow,1,All Year,19.017614,72.830348
122,Haji Ali Dargah,Mumbai ,Religious & Spiritual,Mosque on a small islet connected by causeway,1,Oct-Mar,18.982326,72.808068
123,CSMVS Museum,Mumbai ,Historical & Cultural,Art & history museum formerly Prince of Wales Museum,2,All Year,18.926093,72.832555
124,Sanjay Gandhi National Park,Mumbai ,Wildlife & Adventure,Large green park with Kanheri Caves,3,Oct-Mar,19.214706,72.883554
125,Kanheri Caves,Mumbai ,Nature & Scenic,Buddhist rock-cut caves inside SGNP,3,Oct-Mar,19.214925,72.905592
126,Bandra-Worli Sea Link,Mumbai ,Bridge,Iconic modern cable-stayed bridge,0.5,All Year,19.036652,72.814106
127,Girgaum Chowpatty,Mumbai ,Beaches & Waterfront,Popular city beach with local snacks,1,Oct-Mar,18.954214,72.812401
128,Film City,Mumbai ,Urban & Modern Attractions,Major film production complex and tours,3,All Year,19.155943,72.869439
129,Hanging Gardens,Mumbai ,Nature & Scenic,Terraced garden with city views,1,Oct-Mar,18.95652,72.810238
130,Taraporewala Aquarium,Mumbai ,Beaches & Waterfront,Historic public aquarium,1,All Year,18.954913,72.812353
131,Bandstand Promenade,Mumbai ,Beaches & Waterfront,Seafront promenade and celebrity homes,1,Oct-Mar,19.054428,72.816693
132,Worli Fort,Mumbai ,Historical & Cultural,Historic British-era fort,1,All Year,18.9912,72.8159
134,Kanheri Plateau View,Mumbai ,Nature & Scenic,Panoramic viewpoint over caves,0.75,Oct-Mar,19.215,72.906
135,Stok Monastery Style Temple,Mumbai ,Religious & Spiritual,Small serene temple for meditation,0.75,All Year,19.23,72.8
136,Malshej Ghat,Mumbai ,Nature & Scenic,Misty mountain pass with waterfalls,2,Jun-Sep,19.318,73.778
137,Upvan Lake,Mumbai ,Nature & Scenic,Famous lake with art festivals,1,All Year,19.2432,72.9721
138,Tikuji-ni-Wadi,Mumbai ,Urban & Modern Attractions,Amusement and water park,3,All Year,19.2569,72.9894
139,Kopri Fort,Mumbai ,Historical & Cultural,Remains of old coastal fort,1,All Year,19.1832,72.9667
140,Owala Lake,Mumbai ,Nature & Scenic,Quiet lake for picnics,1,All Year,19.2674,72.9587
141,Yeur Hills,Mumbai ,Nature & Scenic,Green trekking and nature trails,2,Oct-Mar,19.2583,72.9459
142,Nerul Lake,Mumbai ,Nature & Scenic,Peaceful lake with jogging track,1,All Year,19.023,73.0163
143,Kharghar Hills,Mumbai ,Nature & Scenic,Popular hiking and monsoon point,2,Jun-Sep,19.0737,73.0653
144,Belapur Fort,Mumbai ,Historical & Cultural,Ruins of fort built by Siddis,1,All Year,19.0183,73.0309
145,Wonders Park,Mumbai ,Nature & Scenic,Mini monuments-themed amusement park,2,All Year,19.0079,73.0138
146,Parsik Hill,Mumbai ,Nature & Scenic,Viewpoint popular for sunsets,1,All Year,19.1959,73.0309
147,Lalbaug Flower Market,Mumbai ,Urban & Modern Attractions,Famous wholesale flower market active early morning,1,All Year,18.99382,72.83054
148,Prithvi Theatre,Mumbai ,Urban & Modern Attractions,Legendary performing arts theatre in Juhu,2,All Year,19.11342,72.82856
149,Madh Fort,Mumbai ,Historical & Cultural,Hidden Portuguese fort near Madh Island,1.5,Nov-Mar,19.14389,72.78632
150,Aksa Beach,Mumbai ,Beaches & Waterfront,Quiet less crowded beach ideal for sunset walks,2,Nov-Mar,19.17365,72.79248
151,Worli Sea Link View Point,Mumbai ,Nature & Scenic,Best spot to view iconic Bandra-Worli Sea Link,0.5,All Year,19.01753,72.81845
152,Global Vipassana Pagoda,Mumbai ,Historical & Cultural,Golden meditation dome offering island views,2,Nov-Feb,19.21489,72.79345
153,Sanjay Gandhi National Park,Mumbai ,Nature & Scenic,Huge urban forest with wildlife and Kanheri Caves,3,Nov-Feb,19.21465,72.91035
154,Borivali National Park Caves,Mumbai ,Historical & Cultural,Ancient Buddhist caves inside SGNP,2,Nov-Feb,19.21414,72.91064
155,Karnala Bird Sanctuary,Mumbai ,Wildlife & Adventure,Popular bird sanctuary and trekking spot,3,Nov-Feb,18.88322,73.10841
156,Gadeshwar Dam,Mumbai ,Nature & Scenic,Scenic dam with photography spots,1,All Year,18.94422,73.18053
157,Balaji Temple,Mumbai ,Religious & Spiritual,Scenic modern temple inspired by Tirupati,1.5,All Year,18.78443,73.32892
158,Zenith Falls,Mumbai ,Nature & Scenic,Famous monsoon waterfall trek,1.5,Jul-Sep,18.78084,73.32997
159,Imagicaa Theme Park,Mumbai ,Urban & Modern Attractions,India's top amusement park,5,Nov-Feb,18.77126,73.32119
160,Imagicaa Water Park,Mumbai ,Urban & Modern Attractions,Large water park within Imagicaa complex,4,Apr-Jun,18.77224,73.32058
161,Mahalaxmi Temple,Mumbai ,Religious & Spiritual,Famous Hindu temple dedicated to Goddess Mahalakshmi,1,All Year,18.977527,72.81649
162,Deekshabhoomi,Nagpur - Vidarbha ,Historical & Cultural,Buddhist stupa and pilgrimage spot,1,All Year,21.124991,79.070639
163,Ambazari Lake,Nagpur - Vidarbha ,Nature & Scenic,Large urban lake good for walks,1.5,Oct-Mar,21.14583,79.041878
164,Futala Lake,Nagpur - Vidarbha ,Nature & Scenic,Popular lakeside evening hangout,1,Oct-Mar,21.146706,79.048766
165,Gorewada Zoo & Bio-Park,Nagpur - Vidarbha ,Wildlife & Adventure,Safari and wildlife experiences,3,Oct-Mar,21.194592,79.034691
166,Dragon Palace Temple,Nagpur - Vidarbha ,Religious & Spiritual,Peaceful Japanese-style temple,1,All Year,21.238819,79.197224
167,Sitabuldi Fort,Nagpur - Vidarbha ,Historical & Cultural,Historic fort with city views,1,Oct-Mar,21.145755,79.088129
168,Khindsi Lake,Nagpur - Vidarbha ,Nature & Scenic,Adventure & boating at Khindsi,2,Oct-Mar,21.389289,79.312183
169,Tadoba Andhari Tiger Reserve,Nagpur - Vidarbha ,Wildlife & Adventure,Major tiger reserve with safaris,5,Nov-May,20.235279,79.335374
170,Pench National Park,Nagpur - Vidarbha ,Wildlife & Adventure,Rich biodiversity and tiger sightings,5,Nov-May,21.65251,79.164422
171,Lonar Crater Lake,Nagpur - Vidarbha ,Nature & Scenic,Unique meteor impact lake,3,Oct-Mar,19.976531,76.522995
172,Hazur Sahib,Nagpur - Vidarbha ,Religious & Spiritual,Historic Sikh takht and pilgrimage site,2,All Year,19.164498,77.314379
173,Umred Karhandla Wildlife Sanctuary,Nagpur - Vidarbha ,Wildlife & Adventure,Rich in flora and fauna,4,Nov-May,20.883,79.36
174,Chikhaldara Hill Station,Nagpur - Vidarbha ,Nature & Scenic,Less-explored plateau with wildlife,3,Oct-Mar,21.136,77.743
175,Melghat Tiger Reserve,Nagpur - Vidarbha ,Wildlife & Adventure,Tiger reserve and dense forests,5,Nov-May,21.398,76.435
176,Kusumagraj Smarak,Nagpur - Vidarbha ,Historical & Cultural,Local cultural memorial site,0.75,All Year,21.145,79.08
177,Mahabodhi Society,Nagpur - Vidarbha ,Religious & Spiritual,Buddhist meditation center and temple,1,All Year,21.1316,79.0912
178,Sitabuldi Fort,Nagpur - Vidarbha ,Historical & Cultural,Historic fort in central Nagpur,1,All Year,21.1462,79.0839
179,Deekshabhoomi,Nagpur - Vidarbha ,Historical & Cultural,Buddhist stupa and important pilgrimage site,1,All Year,21.131889,79.068703
180,Futala Lake,Nagpur - Vidarbha ,Nature & Scenic,Famous lake with evening fountain shows,1,All Year,21.159067,79.059128
181,Japanese Rose Garden,Nagpur - Vidarbha ,Nature & Scenic,Lush garden with walking paths,1,All Year,21.1537,79.0888
182,Railway Museum,Nagpur - Vidarbha ,Historical & Cultural,Historic rail engines & exhibits,1.5,All Year,21.1594,79.0825
183,Ambazari Lake,Nagpur - Vidarbha ,Nature & Scenic,Lake with walking track & boating,1.5,All Year,21.1489,79.0598
184,Khekranala Lake,Nagpur - Vidarbha ,Nature & Scenic,Beautiful lake with trekking,3,Nov-Feb,21.3696,79.1461
185,Japanese Garden,Nagpur - Vidarbha ,Nature & Scenic,Peaceful Japanese-style garden,1.5,All Year,21.1325,79.065
186,Ramtek Fort,Nagpur - Vidarbha ,Historical & Cultural,Historic fort with panoramic views,2,Nov-Feb,21.3957,79.3289
187,Deeksha Bhoomi,Nagpur - Vidarbha ,Historical & Cultural,Major Buddhist monument & stupa,1.5,All Year,21.1317,79.0634
188,Zero Mile Stone,Nagpur - Vidarbha ,Historical & Cultural,Historic marker for India's center,0.5,All Year,21.1463,79.0881
189,Nagzira Wildlife Sanctuary,Nagpur - Vidarbha ,Wildlife & Adventure,Tiger reserve with jeep safaris,4,Nov-Feb,21.2815,80.0203
190,Tadoba Tiger Reserve,Nagpur - Vidarbha ,Wildlife & Adventure,Major tiger reserve for safaris,4,Oct-Mar,20.1967,79.3495
191,Chikhaldara View Point,Nagpur - Vidarbha ,Nature & Scenic,Hill station with panoramic ghat views,1.5,Oct-Feb,21.4175,77.3378
192,Bhimkund Waterfall,Nagpur - Vidarbha ,Nature & Scenic,Monsoon waterfall near forests,1.5,Jul-Sep,21.6447,77.299
193,Gugamal National Park,Nagpur - Vidarbha ,Wildlife & Adventure,Part of Melghat Tiger Reserve,4,Oct-Mar,21.458,77.1399
194,Narnala Fort,Nagpur - Vidarbha ,Historical & Cultural,Giant medieval fort in Satpura Hills,3,Nov-Feb,21.3593,77.0824
195,Saputara Hill Station,Nagpur - Vidarbha ,Nature & Scenic,Cool hill station bordering Gujarat,3,Oct-Feb,20.5818,73.7567
196,Toranmal,Nagpur - Vidarbha ,Nature & Scenic,Quiet hill station with lakes and sunset points,3,Nov-Feb,21.848,74.9167
197,Asthamba Temple,Nagpur - Vidarbha ,Religious & Spiritual,Famous tribal pilgrimage site,1.5,All Year,21.6836,74.5531
198,Laling Fort,Nagpur - Vidarbha ,Historical & Cultural,Ruins of fort on a hill,1.5,Nov-Feb,20.8851,74.7777
199,Sulwade Barrage,Nagpur - Vidarbha ,Nature & Scenic,Lake with scenic views,1,All Year,20.9724,74.9395
200,Songir Fort,Nagpur - Vidarbha ,Historical & Cultural,Lesser-known fort with valley views,2,Nov-Feb,21.0822,74.7781
201,Aundha Nagnath Temple,Nagpur - Vidarbha ,Religious & Spiritual,Jyotirlinga temple with huge devotees,2,All Year,19.9192,77.1839
202,Mahur Gad,Nagpur - Vidarbha ,Historical & Cultural,Hill fort famous for temples of Renuka Mata,2,All Year,19.4442,77.9703
203,Kandhar Fort,Nagpur - Vidarbha ,Historical & Cultural,Ancient fort near river,2,Nov-Feb,19.6531,77.1325
204,Sahastrakund Waterfall,Nagpur - Vidarbha ,Nature & Scenic,Widely visited waterfall on Penganga river,1.5,Jul-Sep,19.0648,77.9797
205,Kaleshwar Temple,Nagpur - Vidarbha ,Religious & Spiritual,Riverside Shiva temple,1,All Year,19.1652,77.7138
206,Sula Vineyards,Nashik ,Vineyard,Famous winery with tours and tasting,3,Nov-Feb,20.011247,73.744761
207,Trimbakeshwar Temple,Nashik ,Religious & Spiritual,Ancient Jyotirlinga temple near Trimbak,2,All Year,19.933508,73.542724
208,Pandavleni Caves,Nashik ,Nature & Scenic,Buddhist caves with hill views,1.5,Oct-Feb,19.940403,73.760186
209,Anjaneri Hills,Nashik ,Wildlife & Adventure,Hill tied to Hanuman legend,3,Nov-Feb,19.951614,73.566202
210,Kalaram Temple,Nashik ,Religious & Spiritual,Historic Ram temple in Nashik,1,All Year,20.002432,73.790028
211,Gangapur Dam,Nashik ,Nature & Scenic,Scenic waterside for picnics,1.5,Oct-Feb,19.997337,73.71299
